cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
5112718,2024-12-31,2013-10-23,01N,0125,COMPRAVENTA,2024,12,101
5112981,2023-12-31,2023-12-07,01N,0168,TRANSFERENCIA DE DOMINIO A TITULO DE LEASING HABITACIONAL DE VIVIENDA FAMILIAR,2023,12,101
5113288,2025-03-31,2015-07-09,01N,0125,COMPRAVENTA,2025,3,101
5113721,2024-12-31,2017-05-22,01N,0125,COMPRAVENTA,2024,12,101
5114260,2024-09-30,2019-06-05,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,9,101
5114481,2024-10-31,2006-09-07,01N,0109,ADJUDICACION EN SUCESION,2024,10,101
5114724,2024-09-30,2018-04-19,01N,0125,COMPRAVENTA,2024,9,101
5114950,2024-01-31,2013-05-15,01N,0125,COMPRAVENTA,2024,1,101
5115013,2024-10-31,2016-09-13,01N,0125,COMPRAVENTA,2024,10,101
5115122,2024-08-31,2024-08-22,01N,0125,COMPRAVENTA,2024,8,101
5115508,2025-03-31,2018-01-23,01N,0125,COMPRAVENTA,2025,3,101
5115861,2024-04-30,2010-08-17,01N,0139,ESCISION,2024,4,101
5116619,2024-12-31,2018-12-04,01N,0125,COMPRAVENTA,2024,12,101
5117481,2024-08-31,2015-04-22,01N,0125,COMPRAVENTA,2024,8,101
5118421,2024-12-31,2009-05-14,01N,0125,COMPRAVENTA,2024,12,101
5118698,2024-09-30,2024-02-27,01N,0125,COMPRAVENTA,2024,9,101
5119430,2024-12-31,2024-12-19,01N,0109,ADJUDICACION EN SUCESION,2024,12,101
5119451,2024-09-30,2007-03-07,01N,0125,COMPRAVENTA,2024,9,101
5119968,2024-09-30,2024-09-25,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5120243,2025-03-31,2023-02-21,01N,0125,COMPRAVENTA,2025,3,101
5120446,2025-01-31,2009-06-23,01N,0125,COMPRAVENTA,2025,1,101
5120590,2025-03-31,2025-03-25,01N,0125,COMPRAVENTA,2025,3,101
5120648,2024-01-31,2024-01-24,01N,0125,COMPRAVENTA,2024,1,101
5120779,2024-12-31,2014-03-26,01N,0125,COMPRAVENTA,2024,12,101
5121024,2024-11-30,2017-03-22,01N,0125,COMPRAVENTA,2024,11,101
5121331,2024-08-31,2005-07-06,01N,0109,ADJUDICACION EN SUCESION,2024,8,101
5121729,2024-05-31,2024-05-24,01N,0125,COMPRAVENTA,2024,5,101
5122508,2024-10-31,2004-02-09,01N,0125,COMPRAVENTA,2024,10,101
5122605,2025-01-31,2005-12-02,01N,0144,PERMUTA,2025,1,101
5123215,2024-10-31,2015-07-16,01N,0125,COMPRAVENTA,2024,10,101
5124101,2024-07-31,2023-07-28,01N,0125,COMPRAVENTA,2024,7,101
5124978,2024-07-31,2015-05-12,01N,0125,COMPRAVENTA,2024,7,101
5125254,2024-11-30,2008-01-25,01N,0125,COMPRAVENTA,2024,11,101
5125495,2025-03-31,2012-09-25,01N,0125,COMPRAVENTA,2025,3,101
5125811,2024-09-30,2023-06-14,01N,0125,COMPRAVENTA,2024,9,101
5126096,2024-08-31,2023-02-09,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,8,101
5126599,2024-09-30,2015-09-25,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5127003,2024-07-31,2018-10-30,01N,0125,COMPRAVENTA,2024,7,101
5127260,2024-08-31,2010-02-03,01N,0109,ADJUDICACION EN SUCESION,2024,8,101
5127620,2024-09-30,2009-11-11,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5128256,2024-03-31,2009-04-27,01N,0109,ADJUDICACION EN SUCESION,2024,3,101
5128647,2025-01-31,2024-06-20,01N,0125,COMPRAVENTA,2025,1,101
5129110,2024-08-31,2023-10-27,01N,0125,COMPRAVENTA,2024,8,101
5129924,2024-08-31,2007-10-17,01N,0109,ADJUDICACION EN SUCESION,2024,8,101
5131124,2024-07-31,2006-02-27,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,7,101
5132638,2024-08-31,2008-11-11,01N,0109,ADJUDICACION EN SUCESION,2024,8,101
5134275,2024-08-31,2016-06-09,01N,0125,COMPRAVENTA,2024,8,101
5134833,2025-03-31,2006-10-05,01N,0125,COMPRAVENTA,2025,3,101
5135846,2024-08-31,2006-02-17,01N,0125,COMPRAVENTA,2024,8,101
5136563,2025-03-31,2014-10-20,01N,0125,COMPRAVENTA,2025,3,101
5136934,2024-08-31,2014-11-26,01N,0125,COMPRAVENTA,2024,8,101
5137261,2024-11-30,2017-03-06,01N,0109,ADJUDICACION EN SUCESION,2024,11,101
5137464,2024-06-30,2018-05-22,01N,0125,COMPRAVENTA,2024,6,101
5137587,2024-08-31,2021-03-10,01N,0125,COMPRAVENTA,2024,8,101
5138237,2024-02-29,2024-02-21,01N,0125,COMPRAVENTA,2024,2,101
